Tweet,Sentiment
RT @ErSMOdisha: Modi Govt is redefining Energy Diplomacy #IndiaAtOPEC https://t.co/Uf55qpVWm6,Positive
"RT @dpradhanbjp: Energy access, Energy efficiency, Energy sustainability &amp; Energy security are 4 top priorities of Modi Govt in Energy Sectâ€¦",Positive
U guys are such shameless creeps. U've no morals no ethics such a Bayghairat Qaom you are. Laanat on India &amp; Indianâ€¦ https://t.co/V8ncdC4dPK,Positive
"@sooriks @narendramodi Rejecting us..  FOR MODI WEARS DESIGNERS CLOTHES, CHANGES 5 TIMES A DAY AND COMES IN FRONT Oâ€¦ https://t.co/hECIgQjSHQ",Positive
RT @KapilSibalteam: Will Modi bhakts also claim yestrday's unexpected shower as an endorsement by rain God Indra of unprecedented 3 yrs ofâ€¦,Positive
RT @ShekharGupta: Spate of lynchings in Jharkhand &amp; rape/murders in Haryana should make Modi/Shah dump the idea of appointing novice RSS liâ€¦,Positive
RT @Shobha_Oza: Addressing a Press Conference  at Ranchi on the Failure of Modi  Govt. @rssurjewala @AIMCIndia @INCIndia https://t.co/V5IKRâ€¦,Positive
"RT @GauravPandhi: 36 months gone, data suggests 92% promises remain unfulfilled. What is the Govt celebrating? https://t.co/svxSjmYZ1q",Positive
"RT @AnitaJayesh: PM @narendramodi  inaugurates pumping station at Kutch Canal
https://t.co/9eneSYy95w

via NMApp",Positive
RT @Shehzad_Ind: Bihar sees 365% growth in investment proposals!!Outpaces BJP states but media will keep doing Yogi-Modi Kudos young DyCM @â€¦,Positive
Crisil says Modi's steps to benefit growth over medium term - Daily News &amp; Analysis https://t.co/l4hbzddVkZâ€¦ https://t.co/RrpAXTQRrA,Positive
"RT @EncapsulatdSoul: Seriously this women has becum PhysicðŸ˜¡
According to her Anything happens in world is just Coz of modi
@SirPareshRawalâ€¦",Positive
"Energy access, Energy efficiency, Energy sustainability &amp; Energy security are 4 top priorities of Modi Govt in Energy Sector.  #IndiaAtOPEC",Positive
"RT @KapilSibalteam: Modi is faltering on employment issue as d sectors which can generate max obs are getting the min attention.

https://tâ€¦",Positive
RT @i_me_my5elf: Seven lynched by mob in Jharkhand over kidnap rumours. Modi give us working as #LynchMobSarkar https://t.co/O5mqgLhC0m viaâ€¦,Positive
